src,prediction,gt
Chanting the choir raised the volume as the celebrant intoned the prayer.,"मंडळातील गायन करताना गायकांचा आवाज वाढवला गेला, जेव्हा विधीकर्ता प्रार्थना उच्चारत होता.","धर्मगुरू प्रार्थना म्हणत असताना, घोष करणाऱ्या गायकवृंदाने आवाज वाढवला."
"A six-month-old calf was submitted for examination, showing lameness in all four legs which had been present since soon after birth.","सहा महिन्यांचा बछडा तपासणीसाठी सादर केला गेला, ज्यामध्ये जन्मानंतर लगेचपासूनच सर्व चार पायांमध्ये लंगडेपणा होता.","तपासणीसाठी आणलेल्या सहा महिन्यांच्या एका वासराला चारही पायांत लंगडेपणा दिसत होता, जो जन्मानंतर लगेचच सुरू झाला होता."
Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,"नियोजन प्राधिकरणांनी अशा लघु व्यवसायांसाठी पर्यायी ठिकाणे उपलब्ध करून द्यावी, जे निवासी भागात असू शकतात किंवा त्रासदायक ठरू शकतात.","नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी जागा उपलब्ध करून दिल्या पाहिजेत, जे निवासी क्षेत्रात आक्षेपार्ह आहेत किंवा असतील."
As the machine develops the forms we use to record data from past projects will be amended.,"मशीन जसे स्वरूप विकसित करते, तसेच आपण भूतपूर्व प्रकल्पांमधून डेटा नोंदवण्यासाठी वापरलेली पद्धत सुधारली जाईल.","जसजशी यंत्रणा विकसित होईल, तसतसे मागील प्रकल्पांतील डेटा रेकॉर्ड करण्यासाठी आम्ही वापरत असलेले फॉर्म्स सुधारित केले जातील."
"As mentioned, first impressions can be misleading.","जसे म्हटले, पहिले छाप चुकीचे ठरू शकतात.","आधी सांगितल्याप्रमाणे, पहिली छाप फसवी असू शकते."
To get a clean assembly load the assembled equals table before the assembly is run.,स्वच्छ असेंब्ली मिळवण्यासाठी असेंब्ली चालवण्यापूर्वी असेंबल केलेली ‘इक्वल्स’ टेबल लोड करा.,"स्वच्छ असेंब्ली मिळवण्यासाठी, असेंब्ली चालण्यापूर्वी जुळलेला इक्वल्स टेबल लोड करा."
Executors delay giving information about substantial deviations from agreed dates. Because of this action cannot be taken in time.,कार्यवाही करणारे व्यक्ती ठरलेल्या तारखांपासून मोठ्या फरकाबाबत माहिती देण्यात विलंब करतात. त्यामुळे वेळेवर कारवाई करता येत नाही.,अंमलबजावणी करणारे मान्य केलेल्या तारखांपासून महत्त्वपूर्ण विचलनाबद्दल माहिती देण्यास विलंब करतात. यामुळे वेळेत कारवाई करता येत नाही.
These glycans are poorly transferred to proteins resulting in unoccupied glycosylation sequons.,"हे ग्लायकन्स प्रोटिनवर नीट हस्तांतरित होत नाहीत, ज्यामुळे ग्लायकॉसिलेशन सिक्वॉन्स रिक्त राहतात.","हे ग्लायकन्स प्रथिनांमध्ये अपुरे हस्तांतरित होतात, परिणामी ग्लायकोसिलेशन सिक्वॉन्स रिक्त राहतात."
"X is an effective acute, oral treatment for migraine with a rapid onset of action","X हा मायग्रेनसाठी प्रभावी तीव्र, तोंडाने दिला जाणारा उपचार आहे, ज्याची क्रियाशीलता वेगाने सुरू होते.","एक्स हे मायग्रेनसाठी एक प्रभावी तीव्र, तोंडी उपचार आहे, ज्याची क्रिया जलद सुरु होते."
No newspaper is completely unbiased in my expert opinion.,माझ्या तज्ञ मतानुसार कोणताही वृत्तपत्र पूर्णपणे पक्षपाती नाही.,"माझ्या तज्ञांच्या मते, कोणतेही वृत्तपत्र पूर्णपणे निःपक्षपाती नसते."
Steam for example is just as damaging as acid for that material.,उदाहरणार्थ वाफ या साहित्यासाठी आम्लासारखेच हानिकारक आहे.,"उदाहरणार्थ, त्या सामग्रीसाठी वाफ ॲसिडइतकीच हानिकारक आहे."
"My favourite opera composers are Verdi, Puccini, Mozart and Gilbert and Sullivan.","माझ्या आवडत्या ऑपेरा संगीतकारांमध्ये वेरडी, पुकिनी, मोजार्ट आणि गिल्बर्ट व सुलिव्हन यांचा समावेश आहे.","माझे आवडते ऑपेरा संगीतकार व्हेर्डी, पुचिनी, मोझार्ट, आणि गिल्बर्ट व सुलिव्हन हे आहेत."
The only problem with the new project established in the desert at high cost is the lack of good access roads.,वाळवंटात उच्च खर्चाने सुरू केलेल्या नवीन प्रकल्पातील एकमेव समस्या म्हणजे चांगल्या प्रवेश रस्त्यांचा अभाव.,मोठ्या खर्चात वाळवंटी प्रदेशात उभारलेल्या नवीन प्रकल्पाची एकमेव समस्या म्हणजे चांगल्या प्रवेश मार्गांची कमतरता आहे.
Having failed in all previous attempts he evolved a new plan which surprised everybody.,"मागील सर्व प्रयत्नांमध्ये अपयश आल्यानंतर त्याने नवीन योजना विकसित केली, ज्याने सर्वांना आश्चर्यचकित केले.","मागील सर्व प्रयत्नांमध्ये अपयशी ठरल्यानंतर त्याने एक नवीन योजना आखली, ज्यामुळे सर्वांना आश्चर्य वाटले."
When the film was developed none of the pictures proved satisfactory.,"चित्रपट विकसित केला असता, कोणतीही चित्रे समाधानकारक ठरली नाहीत.",फिल्म डेव्हलप झाल्यावर एकही फोटो समाधानकारक निघाला नाही.
The school has adequate study facilities but hardly any sports facilities.,"शाळेची अध्ययन सुविधा पुरेशी आहे, परंतु खेळांच्या सुविधांचा अभाव आहे.","शाळेत अभ्यासासाठी पुरेशा सुविधा आहेत, पण क्रीडा सुविधा जवळजवळ नाहीतच."
In his daily traffickings a Cairene resident is often made conscious of the suffocating pollution.,त्यांच्या दैनंदिन व्यवहारांमध्ये काहिरी रहिवाशीला दमट प्रदूषणाची जाणीव होते.,त्याच्या दैनंदिन प्रवासात कैरोच्या रहिवाशाला गुदमरवून टाकणाऱ्या प्रदूषणाची वारंवार जाणीव होते.
If drama implies conflict and poetry metaphor then poetic drama must imply the dramatization of metaphor!,"जर नाटकात संघर्ष सूचित असेल आणि काव्यात रूपक, तर काव्यात्मक नाटक म्हणजे रूपकाचे नाट्यीकरण!","जर नाटक संघर्ष सूचित करत असेल, आणि कविता रूपक सूचित करत असेल, तर काव्य नाटक निश्चितपणे रूपकाचे नाट्यीकरण सूचित करते!"
Items serve as the nodes of the knowledge network and user-defined relators serve as the links between items.,आयटम्स ज्ञान नेटवर्कचे नोड्स म्हणून कार्य करतात आणि वापरकर्त्यांनी ठरवलेले रिलेटर्स आयटम्समधील दुवे म्हणून कार्य करतात.,"वस्तू ज्ञानाच्या नेटवर्कचे नोड्स म्हणून कार्य करतात, आणि वापरकर्त्याने परिभाषित केलेले रिलॅटर्स वस्तूंमधील दुवे म्हणून कार्य करतात."
A translator of technical texts often has to handle large amounts of information and needs to ensure that it is stored in an easily retrievable form.,तांत्रिक मजकूराचे भाषांतर करणाऱ्या व्यक्तीला अनेक माहिती हाताळावी लागते आणि ती सहज पुनर्प्राप्त होईल अशी ठेवण सुनिश्चित करावी लागते.,तांत्रिक ग्रंथांच्या अनुवादकाला अनेकदा मोठ्या प्रमाणात माहिती हाताळावी लागते आणि ती सहज उपलब्ध होईल अशा स्वरूपात साठवली जाईल याची खात्री करावी लागते.
The calculator executed the functions that had been selected and displayed the results on the top half of the screen.,कॅल्क्युलेटरने निवडलेल्या फंक्शन्स कार्यान्वित केल्या आणि स्क्रीनच्या वरच्या भागात निकाल प्रदर्शित केले.,कॅल्क्युलेटरने निवडलेली कार्ये पार पाडली आणि परिणाम स्क्रीनच्या वरच्या अर्ध्या भागावर प्रदर्शित केले.
"There are many disturbing factors fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation.","अनेक त्रासदायक घटक आहेत: थकवा, दुबळे दृष्टिकोन, वाचनातील अडचण, चिंता किंवा अनावश्यक काळजी, विचलनक्षमता, आणि अपर्याप्त प्रेरणा.","विचलित करणारे अनेक घटक आहेत: थकवा, खराब दृष्टी, खराब वाचन क्षमता, चिंता किंवा अवाजवी सावधगिरी, विचलितता आणि अपुरी प्रेरणा."
"These are the components required motor brushes, bearings, and wiring.","आवश्यक घटक म्हणजे मोटर ब्रश, बेअरिंग आणि वायरिंग.","आवश्यक असलेले घटक खालीलप्रमाणे आहेत: मोटार ब्रशेस, बेअरिंग्ज आणि वायरिंग."
"When a source of sound is operating in a room or other enclosure, the sound pressure in the room consists of two components direct sound and reverberant sound.","जेव्हा ध्वनीचा स्रोत खोलीत किंवा इतर बंद जागेत कार्यरत असतो, तेव्हा खोलीतील ध्वनी दाब दोन घटकांचा बनलेला असतो: थेट ध्वनी आणि परावर्ती ध्वनी.","जेव्हा ध्वनीचा स्रोत एखाद्या खोलीत किंवा इतर बंद जागेत कार्यरत असतो, तेव्हा खोलीतील ध्वनी दाबामध्ये दोन घटक असतात: थेट ध्वनी आणि निनादी ध्वनी."
The crucial words in the specification are the signals must be routed internally.,तपशीलात महत्त्वाचे शब्द म्हणजे सिग्नल्स अंतर्गत मार्गाने पाठवले पाहिजेत.,तपशीलातील महत्त्वाचे शब्द आहेत: ‘सिग्नल अंतर्गत मार्गाने पाठवले जाणे आवश्यक आहे’.
Would you please supply a list of the correct settings for the ABC,कृपया ABC साठी योग्य सेटिंग्जची यादी पुरवू शकाल का?,कृपया 'एबीसी' साठी योग्य सेटिंग्जची एक यादी पुरवाल का?
Set BATTERY B switch to OFF set BATTERY C switch to ON.,"BATTERY B स्विच OFF वर सेट करा, BATTERY C स्विच ON वर सेट करा.",बॅटरी 'बी' चा स्विच 'ऑफ' करा; बॅटरी 'सी' चा स्विच 'ऑन' करा.
"What we see, we believe what we hear, we register","जे आपण पाहतो, त्यावर आपण विश्वास ठेवतो; जे आपण ऐकतो, त्याचे आपण नोंद घेतो.","जे पाहतो, त्यावर विश्वास ठेवतो; जे ऐकतो, त्याची नोंद घेतो."
"However oxidative stress occurs when the balance is disturbed, through an increase in reactive oxygen species","तथापि ऑक्सिडेटिव्ह ताण तेव्हा होते जेव्हा संतुलन बिघडते, सक्रिय ऑक्सिजन प्रजातींच्या वाढीद्वारे.","तथापि, जेव्हा समतोल बिघडतो, तेव्हा प्रतिक्रियाशील ऑक्सिजन प्रजातींमध्ये वाढ झाल्यामुळे ऑक्सिडेटिव्ह ताण होतो."
Should any burner fail to ignite its respective section will revert to 'purge' and in this way the system ensures safe removal of unburned fuel,"जर कोणताही बर्नर जळायला अयशस्वी ठरला, तर त्याचा संबंधित विभाग ‘पर्ज’ मोडमध्ये जाईल आणि अशा प्रकारे प्रणाली जळलेले इंधन सुरक्षितरीत्या काढते.","जर कोणताही बर्नर पेटला नाही, तर त्याचा संबंधित विभाग 'पर्ज' वर परत जाईल आणि अशा प्रकारे प्रणाली न जळलेल्या इंधनाची सुरक्षित विल्हेवाट सुनिश्चित करते."
"At present rates of return giving a net profit of only 7% are widespread in the industry, indicating increased competition and tighter profit margins.","सध्याच्या परतावा दरावर, फक्त 7% निव्वळ नफा देणारे प्रकल्प उद्योगात मोठ्या प्रमाणात आहेत, ज्यामुळे वाढलेली स्पर्धा आणि घटलेले नफा मार्जिन दिसून येते.","सध्या उद्योगात केवळ ७% निव्वळ नफा देणारे परताव्याचे दर सर्वत्र पसरलेले आहेत, ज्यामुळे वाढलेली स्पर्धा आणि नफ्याचे घट्ट मार्जिन दिसून येते."
"He draws an analogy between this and the learning process of a new-born child as it develops into maturity and quotes Freud: ""Where id was, there ego shall be.""","तो याचा उपमा एका नवजात बालकाच्या शिकण्याच्या प्रक्रियेशी घेतो, ज्यात तो प्रौढत्वाकडे जातो आणि फ्रोइडचे उद्धरण करतो: ""जिथे ‘इड’ होते, तिथे ‘ईगो’ असेल.""","तो याची तुलना नवजात बालक प्रौढत्वाकडे विकसित होत असतानाच्या अध्ययन प्रक्रियेशी करतो आणि फ्रॉइडचे उद्धृत करतो: ""जिथे इड होते, तिथे इगो असेल."""
"Unfortunately though incorrect predictions were made about both negative and positive experiments, leading to doubts about the reliability of the underlying model.","दुर्दैवाने, नकारात्मक आणि सकारात्मक प्रयोगांसंदर्भातील चुकीच्या भाकीतांमुळे, मूळ मॉडेलच्या विश्वसनीयतेबाबत शंका निर्माण झाल्या.","तरीही दुर्दैवाने, नकारात्मक आणि सकारात्मक अशा दोन्ही प्रयोगांबद्दल चुकीचे अंदाज वर्तवले गेले, ज्यामुळे मूळ मॉडेलच्या विश्वसनीयतेबद्दल शंका निर्माण झाल्या."
Reject the applicant using procedure XYZ to ensure compliance with standard evaluation protocols.,"अर्जदाराला XYZ प्रक्रियेद्वारे नाकारावे, जेणेकरून मानक मूल्यांकन प्रोटोकॉलचे पालन सुनिश्चित होईल.",मानक मूल्यांकन नियमांचे पालन सुनिश्चित करण्यासाठी 'XYZ' कार्यपद्धतीचा वापर करून अर्जदाराला नाकारा.
It represents an early quantifiable hyperplastic response of the tissue to injury.,हे ऊतकातील जखमेवर होणाऱ्या लवकरच्या प्रमाणात्मक हायपरप्लास्टिक प्रतिसादाचे प्रतिनिधित्व करते.,"ते दुखापतीनंतर ऊतीचा लवकरचा, मोजता येण्याजोगा, हायपरप्लास्टिक प्रतिसाद दर्शविते."
Return the XYZ to the operator following the ABC routine to verify proper functioning and safety.,योग्य कार्यक्षमता आणि सुरक्षितता तपासण्यासाठी XYZ ऑपरेटरला ABC प्रक्रियेनंतर परत द्या.,योग्य कार्यप्रणाली आणि सुरक्षितता सत्यापित करण्यासाठी 'एबीसी' नियमांचे पालन करून 'XYZ' ऑपरेटरला परत करा.
Insert the new disk into the disk drive with the notch at the bottom facing the drive’s entry slot.,"नवीन डिस्क ड्राइव्हमध्ये घाला, जिथे खाच तळाशी असून ड्राइव्हच्या प्रवेश स्लॉटकडे सामोरे असेल.","नवीन डिस्क डिस्क ड्राइव्हमध्ये घाला, ज्याचा तळाशी असलेला नॉच ड्राइव्हच्या प्रवेश स्लॉटकडे तोंड करून असेल."
"Replace the fuel lines and electrical conduits, which have cracks or damaged B-nut fittings to prevent leaks and ensure safe operation.","इंधनाच्या लाईन्स आणि इलेक्ट्रिकल कंड्युइट्स, ज्यात तुटलेले किंवा खराब B-नट फिटिंग आहेत, बदलून गळती टाळा आणि सुरक्षित ऑपरेशन सुनिश्चित करा.","ज्या इंधन लाईन्स आणि इलेक्ट्रिकल कंड्युईट्सना तडे गेले आहेत किंवा बी-नट फिटिंग्ज खराब झाली आहेत, त्यांना गळती टाळण्यासाठी आणि सुरक्षित कामकाज सुनिश्चित करण्यासाठी बदला."
The processor accepts data from input devices and checks it before computing to ensure accuracy and prevent errors.,"प्रोसेसर इनपुट डिव्हाइसकडून डेटा स्वीकारतो आणि गणना करण्यापूर्वी तपासतो, जेणेकरून अचूकता सुनिश्चित होईल आणि चुका टाळता येतील.",प्रोसेसर इनपुट उपकरणांकडून डेटा स्वीकारतो आणि अचूकता सुनिश्चित करण्यासाठी व त्रुटी टाळण्यासाठी तो गणनेपूर्वी तपासतो.
"The orifice through which the exhaust gases leave the chamber, is larger than the intake valve opening.","ज्या छिद्रातून उत्सर्जन वायू बाहेर निघतात, ते इनटेक व्हॉल्वच्या उघडण्यापेक्षा मोठे आहे.","ज्या मुखातून उत्सर्जक वायू कक्षातून बाहेर पडतात, ते इनटेक व्हॉल्व्हच्या उघडण्यापेक्षा मोठे आहे."
Take no action as the camera operates automatically under all lighting conditions.,कॅमेरा सर्व प्रकाश परिस्थितीत आपोआप कार्य करत असल्याने कोणतीही कृती करू नका.,"कोणतीही कार्यवाही करू नका, कारण कॅमेरा सर्व प्रकाश परिस्थितीत आपोआप कार्य करतो."
The species of fish supported by the reef are varied and abundant food supplies are available to sustain their populations.,रीफने समर्थित माशांच्या प्रजाती विविध आहेत आणि त्यांच्या लोकसंख्या टिकवण्यासाठी पुरेसे अन्न उपलब्ध आहे.,रीफमुळे आधारलेल्या माशांच्या प्रजाती वैविध्यपूर्ण आहेत आणि त्यांच्या लोकसंख्या टिकवून ठेवण्यासाठी भरपूर अन्न पुरवठा उपलब्ध आहे.
