Sentence,Response
"A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","एक सहा महिन्याचा बछडा दाखल करण्यात आला होता, जो सर्व चार पायांवर लंगडत असल्याचे दिसून आले होते आणि तो जन्मापासूनच असे करत आहे."
"Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area.","नियोजन प्राधिकरणांनी लहान व्यवसायांसाठी पर्यायी ठिकाणे उपलब्ध करून द्यावीत, जी निवासी भागात अयोग्य असतील."
"As the machine develops, the forms we use to record data from past projects will be amended.",यंत्रे विकसितम् होतें तसाच डेटा आपण भूत प्रकल्पांमधून नोंदवण्याचे प्रकारही बदलत जातील. </s>
"Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",निष्कासनकर्ता विलंबतः करारित तारखांविषयी महत्त्वपूर्ण विसंगतींविषयी माहिती देत नाही. कारण यामुळे कृती वेळेत होऊ शकत नाही.
"These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.","ये ग्लायकोन्स खराब रूप से प्रोटीन में स्थानांतरित होते हैं, जिसके परिणामस्वरूप रिक्त ग्लाइकोसिलीकरण अनुक्रमों का निर्माण होता है।"
"X is an effective acute, oral treatment for migraine, with a rapid onset of action","X हा तीव्र डोकेदुखीसाठी प्रभावी आहे, जो जलद परिणामांसह होतो."
"Steam, for example, is just as damaging as acid for that material.","स्टीम, उदाहरणार्थ, त्या सामग्रीसाठी जसे की एक ऍसिड आहे."
"My favourite opera composers are Verdi, Puccini, Mozart, and Gilbert and Sullivan.","माझे आवडते ऑपेरा संगीतकार आहेत -  - वर्दी, पुच्चीनी, मोजार्ट आणि गिल्बर्ट अँड सुलिव्हन."
"The only problem with the new project, established in the desert at high cost, is the lack of good access roads.",नवीन प्रकल्पातील एकमेव समस्या म्हणजे वाळवंटात स्थापन केलेली उच्च किंमत असलेली रस्ते नाहीत.
"Having failed in all previous attempts, he evolved a new plan which surprised everybody.",सर्वप्रथम अपयश प्राप्त झाल्यानंतर त्याने एक नवीन योजना आखली जी सर्वांना आश्चर्यचकित करून गेली.
