prediction,src,gt
"Chanting, the choir raised the volume as the celebrant intoned the prayer.",Chanting the choir raised the volume as the celebrant intoned the prayer.,"Chanting, the choir raised the volume as the celebrant intoned the prayer."
"A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","A six-month-old calf was submitted for examination, showing lameness in all four legs which had been present since soon after birth.","A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth."
Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,"Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area."
"As the machine develops, the forms we use to record data from past projects will be amended.",As the machine develops the forms we use to record data from past projects will be amended.,"As the machine develops, the forms we use to record data from past projects will be amended."
"As mentioned, first impressions can be misleading.","As mentioned, first impressions can be misleading.","As mentioned first, impressions can be misleading."
"To get a clean assembly load, the assembled equals table before the assembly is run.",To get a clean assembly load the assembled equals table before the assembly is run.,"To get a clean assembly, load the assembled equals table before the assembly is run."
"Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",Executors delay giving information about substantial deviations from agreed dates. Because of this action cannot be taken in time.,"Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time."
"These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.",These glycans are poorly transferred to proteins resulting in unoccupied glycosylation sequons.,"These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons."
"X is an effective acute, oral treatment for migraine with a rapid onset of action.","X is an effective acute, oral treatment for migraine with a rapid onset of action","X is an effective acute, oral treatment for migraine, with a rapid onset of action"
"No newspaper is completely unbiased, in my expert opinion.",No newspaper is completely unbiased in my expert opinion.,"No newspaper is completely unbiased, in my expert opinion."
"Steam, for example, is just as damaging as acid for that material.",Steam for example is just as damaging as acid for that material.,"Steam, for example, is just as damaging as acid for that material."
"My favourite opera composers are Verdi, Puccini, Mozart and Gilbert and Sullivan.","My favourite opera composers are Verdi, Puccini, Mozart and Gilbert and Sullivan.","My favourite opera composers are Verdi, Puccini, Mozart, and Gilbert and Sullivan."
The only problem with the new project established in the desert at high cost is the lack of good access roads.,The only problem with the new project established in the desert at high cost is the lack of good access roads.,"The only problem with the new project, established in the desert at high cost, is the lack of good access roads."
"Having failed in all previous attempts, he evolved a new plan, which surprised everybody.",Having failed in all previous attempts he evolved a new plan which surprised everybody.,"Having failed in all previous attempts, he evolved a new plan which surprised everybody."
"When the film was developed, none of the pictures proved satisfactory.",When the film was developed none of the pictures proved satisfactory.,"When the film was developed, none of the pictures proved satisfactory."
"The school has adequate study facilities, but hardly any sports facilities.",The school has adequate study facilities but hardly any sports facilities.,"The school has adequate study facilities, but hardly any sports facilities."
"In his daily traffickings, a Cairene resident is often made conscious of the suffocating pollution.",In his daily traffickings a Cairene resident is often made conscious of the suffocating pollution.,"In his daily traffickings, a Cairene resident is often made conscious of the suffocating pollution."
"If drama implies conflict and poetry metaphor, then poetic drama must imply the dramatization of metaphor!",If drama implies conflict and poetry metaphor then poetic drama must imply the dramatization of metaphor!,"If drama implies conflict, and poetry metaphor, then poetic drama must imply the dramatization of metaphor!"
"Items serve as the nodes of the knowledge network, and user-defined relators serve as the links between items.",Items serve as the nodes of the knowledge network and user-defined relators serve as the links between items.,"Items serve as the nodes of the knowledge network, and user-defined relators serve as the links between items."
A translator of technical texts often has to handle large amounts of information and needs to ensure that it is stored in an easily retrievable form.,A translator of technical texts often has to handle large amounts of information and needs to ensure that it is stored in an easily retrievable form.,"A translator of technical texts often has to handle large amounts of information, and needs to ensure that it is stored in an easily retrievable form."
The calculator executed the functions that had been selected and displayed the results on the top half of the screen.,The calculator executed the functions that had been selected and displayed the results on the top half of the screen.,"The calculator executed the functions that had been selected, and displayed the results on the top half of the screen."
"There are many disturbing factors: fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation.","There are many disturbing factors fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation.","There are many disturbing factors: fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation."
"These are the components required: motor brushes, bearings, and wiring.","These are the components required motor brushes, bearings, and wiring.","These are the components required: motor brushes, bearings, and wiring."
