Sentence,Response
"Chanting, the choir raised the volume as the celebrant intoned the prayer.","मंत्रोच्चार करीत, गाणे गटने प्रार्थनेचा उच्चार करीत असताना स्वर वाढवला. 
"
"A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","Marathi Translation (Devanagari Script): 
            
            एक आठवड्या जुना भाकरासाठी तपासणीसाठी सादर केले गेले, ज्याला सर्व चार पायांमध्ये कोल्हा होता, जो जन्माच्या लवकरच सुरू झाला होता. 


"
"Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area.","महत्त्वाच्या नियोजन संस्थांनी लहान व्यवसायांसाठी पर्यायी ठिकाणे प्रदान कराव्यात, ज्यांना किंवा ज्यांना भविष्यात निवासी भागात राहण्यास अडचण येईल. 
            
"
"As the machine develops, the forms we use to record data from past projects will be amended.","मशीन विकसित होत असल्याने, आम्ही आधीच्या प्रकल्पांपासून डेटा रेकॉर्ड करण्यासाठी वापरत असलेल्या फॉर्ममध्ये बदल केले जातील. 
"
"As mentioned first, impressions can be misleading.","म्हणूनच पहिल्यांदाच सांगितलेल्याप्रमाणे, छापे भ्रामक असू शकतात. 
"
"To get a clean assembly, load the assembled equals table before the assembly is run.","मॅशिनची स्वच्छ संकलन करण्यासाठी, संकलनाची सुरुवात होण्यापूर्वी एकत्रित केलेल्या समानता टेबलाची लोड करा. 
"
"Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.","कार्यकारींचे सहमतीच्या तारखांपासून मोठ्या प्रमाणात विचलनांबद्दल माहिती देण्यास अडथळा आला आहे. यामुळे वेळेवर कारवाई करता येत नाही. 
"
"These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.","हे ग्लाइकन्स प्रथिनेला खूपच कमी प्रमाणात स्थानांतरित होतात, ज्यामुळे रिकाम्या ग्लाइकोसिलीकरण सेक्वॉन येतात. 
"
"X is an effective acute, oral treatment for migraine, with a rapid onset of action","एक्स म्हणजे माइग्रेनसाठी एक प्रभावी तात्काळ, मौखिक उपचार आहे, ज्याचा कार्य सुरू होण्यास वेगवान आहे. "
"No newspaper is completely unbiased, in my expert opinion.","मीच्या विशेषज्ञ मतानुसार, कोणत्याही वृत्तपत्र पूर्णपणे निष्पक्ष नाही. 
"
"Steam, for example, is just as damaging as acid for that material.","वाष्प, उदाहरणार्थ, त्या पदार्थासाठी अम्ल जितकेच हानीकारक आहे. 
        "
"My favourite opera composers are Verdi, Puccini, Mozart, and Gilbert and Sullivan.","मीचे आवडते ओपेरा संगीतकार आहेत वर्डी, पुचिनी, मोजार्ट आणि गिल्बर्ट आणि सल्लिव्हान. 
"
"The only problem with the new project, established in the desert at high cost, is the lack of good access roads.","नवीन प्रकल्पात एकमेव समस्या म्हणजे, ज्याला प्रचंड खर्चात वन्यात स्थापन केले आहे, ते म्हणजे चांगल्या प्रवेश मार्गांचा अभाव. "
"Having failed in all previous attempts, he evolved a new plan which surprised everybody.","महत्त्वाच्या प्रयत्नांमध्ये अपयश पावल्यानंतर, तो एक नवीन योजना आखला ज्याने सर्वजण आश्चर्यचकित केले. 
"
"When the film was developed, none of the pictures proved satisfactory.","चित्रपट विकसित झाला तेव्हा, कोणत्याही छायाचित्रांना संतोषजनक ठरले नाही. "
"The school has adequate study facilities, but hardly any sports facilities.","शिकोलमध्ये पुरेशी अभ्यास सुविधा आहेत, पण खेळाच्या सुविधांची कमीच आहे. 
"
"In his daily traffickings, a Cairene resident is often made conscious of the suffocating pollution.","कायरोच्या रहिवाश्याला आपल्या दैनंदिन जीवनात अनेकदा जास्त प्रदूषणामुळे त्रास होतो. 
            
"
"If drama implies conflict, and poetry metaphor, then poetic drama must imply the dramatization of metaphor!","जर नाटक संघर्षाचे अर्थ असेल, आणि कविता रूपक, तर कवितेचा नाटक रूपकाचा नाट्यरूपीकरण करतो असेल! 
"
"Items serve as the nodes of the knowledge network, and user-defined relators serve as the links between items.","ज्ञान नेटवर्कच्या नोड्स म्हणून वस्तू कार्य करतात, आणि वापरकर्त्याने परिभाषित संबंध म्हणून वस्तूंमधील जोड्यांच्या रूपात कार्य करतात. 
"
"A translator of technical texts often has to handle large amounts of information, and needs to ensure that it is stored in an easily retrievable form.","तंत्रज्ञानाच्या ग्रंथांचे भाषांतरक अनेकदा मोठ्या प्रमाणात माहितींचा व्यवस्थापन करावे लागते आणि ती सोपीपणे शोधण्यायोग्य स्वरूपात ठेवण्याची आवश्यकता असते. 
"
"The calculator executed the functions that had been selected, and displayed the results on the top half of the screen.","कॅल्क्युलेटरने निवडलेल्या कार्ये पूर्ण केली आणि परिणाम स्क्रीनच्या वरच्या अर्ध्या भागात प्रदर्शित केले. 
"
"There are many disturbing factors: fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation.","महत्त्वाच्या अनेक घटक आहेत: थकवा, दृष्टीदोष, वाचन कौशल्य कमी, चिंता किंवा अनावश्यक सावधगिरी, लक्ष केंद्रित नसणे आणि अपुरी प्रेरणा. 
"
"These are the components required: motor brushes, bearings, and wiring.","मोटर ब्रश, बियरिंग्स आणि व्हायर्स या घटकांची आवश्यकता आहे. 
"
"When a source of sound is operating in a room or other enclosure, the sound pressure in the room consists of two components: direct sound and reverberant sound.","जर एक आवाज स्रोत एका खोली किंवा इतर बंद जागी कार्य करत असेल तर, खोलीतील आवाज दाब दोन घटकांपासून बनतो: प्रत्यक्ष आवाज आणि परावर्तित आवाज. 
            
"
The crucial words in the specification are ‘the signals must be routed internally’.,"महत्त्वाचे शब्द विशिष्टतेत आहेत ‘सिग्नलला आंतरगत रस्त्याने वाहून नेवावे लागेल’. 
"
Would you please supply a list of the correct settings for the ABC?,"मला एबीसीसाठी योग्य सेटिंग्सची यादी देऊ शकाल का? 
"
Set BATTERY B switch to OFF; set BATTERY C switch to ON.,"बॅटरी बी स्विच ऑफ करा; बॅटरी सी स्विच ऑन करा. 
"
"What we see, we believe; what we hear, we register","म्हणजे आपण पाहतो, तो आपण विश्वास करतो; आपण ऐकतो, तो आपण नोंदतो. 
"
"However, oxidative stress occurs when the balance is disturbed, through an increase in reactive oxygen species.","पण, ऑक्सिडेटिव्ह स्ट्रेस तर होतो जेव्हा संतुलन बिघडतो, प्रतिक्रियाशील ऑक्सिजन स्पीशीजची वाढीमुळे. 
            
"
"Should any burner fail to ignite, its respective section will revert to 'purge', and in this way the system ensures safe removal of unburned fuel","कोणताही बर्नर ज्वलन करण्यास अयशस्वी ठरला तर त्याच्या संबंधित भागात 'पर्ज' करण्यास जाईल, आणि या प्रकारे प्रणाली अज्वलित वस्तूचे सुरक्षित निष्कासन सुनिश्चित करते. 

"
"At present, rates of return giving a net profit of only 7% are widespread in the industry, indicating increased competition and tighter profit margins.","अजूनही, ज्यांना नेट प्रॉफिट फक्त ७% मिळतो त्यांच्या व्याजदर व्यापक आहेत, ज्यामुळे स्पर्धा वाढली आहे आणि फायदा कमी झाला आहे. 
"
"He draws an analogy between this and the learning process of a new-born child as it develops into maturity, and quotes Freud: ""Where id was, there ego shall be.""","त्याला ही गोष्ट आणि नवजात बाळाच्या शिकण्याच्या प्रक्रियेच्या तुलनेत आकर्षित करते जे वयस्कर होत जाते आणि त्याने फ्रायडचा उद्धरण केला: ""जहाँ आइड होता, तिथे आत्म होईल.""  
            
"
"Unfortunately though, incorrect predictions were made about both negative and positive experiments, leading to doubts about the reliability of the underlying model.","मात्र, दोन्ही नकारात्मक आणि सकारात्मक प्रयोगांबद्दल चुकीचे अंदाजे लावले गेले, ज्यामुळे अंतर्गत मॉडेलची विश्वासार्हता यावर संशय निर्माण झाला. 
"
"Reject the applicant, using procedure XYZ to ensure compliance with standard evaluation protocols.","अ‍ॅप्लिकंटना XYZ प्रक्रिया वापरून नकार द्या, जेणेकरून मानक मूल्यांकन प्रोटोकॉलचे पालन होईल. 
"
"It represents an early, quantifiable, hyperplastic response of the tissue to injury.","त्याचा प्रतिनिधित्व एका जल्दी, मोजण्यायोग्य, अतिवृद्धि प्रतिक्रिया म्हणून होतो ज्या ऊतीला दुखापती झाल्यावर होते. "
"Return the XYZ to the operator, following the ABC routine to verify proper functioning and safety.","ऑपरेटरला XYZ परत करा, ABC पद्धतीनुसार कार्यक्षमतेचे आणि सुरक्षिततेचे तपासणी करा. 
"
"Insert the new disk into the disk drive, with the notch at the bottom facing the drive’s entry slot.","डिस्क ड्राइव्हमध्ये नवीन डिस्क टाका, त्याच्या खोलीच्या बाजूला ड्राइव्हच्या प्रवेश स्लॉटकडे वळवून. 
"
Replace the fuel lines and electrical conduits which have cracks or damaged B-nut fittings to prevent leaks and ensure safe operation.,"क्रॅक किंवा नुकसानग्रस्त बी-नट फिटिंग असलेल्या फ्युअल लाईन्स आणि विद्युत कंड्युइट्स बदलून रिसाव टाळा आणि सुरक्षित कामगिरी सुनिश्चित करा. 
"
"The processor accepts data from input devices, and checks it before computing to ensure accuracy and prevent errors.","प्रोसेसर इनपुट उपकरणांपासून डेटा स्वीकारतो आणि तपासतो तो मोजमाप करण्यापूर्वी, चांगलेपणा आणि त्रुटी टाळण्यासाठी. 
"
"The orifice, through which the exhaust gases leave the chamber is larger than the intake valve opening.","मॉटरच्या कक्षातून निर्गम वायू बाहेर पडणाऱ्या छिद्राचे आकार प्रवेश वाल्वाच्या उघडण्यापेक्षा मोठे आहे. 
"
"Take no action, as the camera operates automatically under all lighting conditions.","महत्त्वाचे नसल्याने, कॅमेरा सर्व प्रकाश परिस्थितीत स्वयंचलितपणे कार्य करते. 
"
"The species of fish supported by the reef are varied, and abundant food supplies are available to sustain their populations.","मच्छींच्या जाती विविध आहेत आणि त्यांच्या लोकसंख्यांना पोषण देण्यासाठी पुरेशी अन्न पुरवठा उपलब्ध आहे. 
"
"At high temperatures, all the ceramic materials show ductility, and hardness decreases considerably, leading to a higher risk of deformation under load.","महत्त्वाच्या तापमानावर, सर्व सिरेमिक पदार्थांमध्ये लवचिकता दिसून येते आणि कठोरता खूप कमी होते, ज्यामुळे ताणावरून विकृती होण्याची शक्यता जास्त वाढते.  
"
"This produces hard copy that can be retained, but printed sheets are bulky to handle, so digital storage and viewing are often preferred.","हे कठीण प्रत निर्माण करते जे ठेवले जाऊ शकते, पण छापलेले कागद पॅकेट असल्याने, डिजिटल संग्रहण आणि पाहणे अनेकदा प्राधान्य दिले जाते.  
"
"Connection to PTT-supplied packet-switch networks will be a prime requirement of the workstation, and gateways into these networks are planned by the PTTs to ensure seamless data communication.","मशीनच्यासाठी प्राथमिक आवश्यकता असेल की PTT-सह पुरवठादार पॅकेट-स्विच नेटवर्कशी जोडणे, आणि या नेटवर्कांमध्ये प्रवेशद्वारे PTT द्वारे सुसंगत डेटा संवाद सुनिश्चित करण्यासाठी नियोजित आहेत. 
"
The system consistently achieved 50 gallons per hour — optimum output.,"सिस्टम ने सतत ५० गॅलन प्रति तास — आदर्श उत्पादन — मिळवले.  
"
percentage reduction is critical: over- and underreduction cause the ink to be very uneven and prone to smudging.,"प्रतशत कमीकरण महत्त्वाचे आहे: जास्त किंवा कमी कमीकरण करून इंक अत्यंत असमान आणि स्मूज होण्यास अयोग्य बनते. 
"
Adopting a user-centered approach is a realistic strategy in the design of both paper- and screen-based forms.,"मर्यादित वापरकर्त्यांना केंद्रित दृष्टिकोन घेणे पेपर आणि स्क्रीनवर आधारित फॉर्म डिझाइन करण्यासाठी एक यथार्थवादी रणनीती आहे. 
"
Morphological studies of paraquat- or oxygen-toxicity in rats have shown significant cellular damage in lung tissue.,"मॉरफोलॉजिकल अभ्यासांमधून पाराक्वाट किंवा ऑक्सिजन-टॉक्सिकिटीचा प्राण्यांवर परिणाम पाहिले तर फुफ्फुसांच्या ऊतीत मोठा सेल्युलर नुकसान दिसून आले आहे. 
"
One should read G. V. Carey’s chapter ‘Proof Correction’ in Mind the Stop.,"महत्त्वाचे आहे जी. व्ही. केरी यांच्या 'प्रूफ करेक्शन' या अध्यायाचे  'माइंड द स्टॉप' मध्ये वाचणे. 
"
"The glass content of this material is low, (10% by weight), for this application.","महत्त्वाच्या घटकाची ही सामग्रीत प्रमाण कमी आहे, (वजनानुसार १०%), या वापरासाठी.  
"
"During the experiment, the animals will be fed with water, (via an automatic system), ad libitum.","प्रयोगादरम्यान, प्राण्यांना स्वयंचलित प्रणाली द्वारे, इच्छेनुसार पाणी देण्यात येईल. 
"
a water/glycol ratio of 60/40 is preferred.,"वाटर/ग्लिकॉलचा ६०/४०चा प्रमाणाचा वापर करायला आवडतो. 
"
It has thickness of only 16/240 inch.,याची मोटाई फक्त १६/२४० इंच आहे.  
